ref,marque,nom,rayon,famille,prix,icone,dispo,cap,specs,photo,photos,actif,description
SPLAST12-12000W,Astech,Split Astech 12000btu 1.5cv inverter ast12vtf11ma/ast12rtv31ma,clim,Climatiseurs,152000,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLAST12-12000W-2.png,images/SPLAST12-12000W-2.png;images/SPLAST12-12000W-1.png,oui,Climatiseur SPLIT ASTECH 12000BTU INVERTER + WIFI 1.5CV Transformez votre maison en un havre de fraîcheur cet été avec le Climatiseur SPLIT ASTECH 12000BTU INVERTER + WIFI ! Conçu pour offrir un confort optimal
SPLAST12-1200CI,Astech,Split Astech 12000btu cassette inverter ast12ca103ivma,clim,Climatiseurs,152000,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLAST12-1200CI-1.png,images/SPLAST12-1200CI-1.png,oui,"Climatiseur Astech de 12000 BTU, format cassette, à encastrer au plafond. Adapté à une pièce d'environ 20 m². Technologie inverter : le compresseur adapte sa puissance au lieu de démarrer et s'arrêter, ce qui réduit la consommation électrique et le bruit. Installation par nos techniciens à Dakar. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
SPLAST18-18000A,Astech,Split Astech 18000btu 2cv 18rb410,clim,Climatiseurs,552000,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLAST18-18000A-1.jpg,images/SPLAST18-18000A-1.jpg,oui,Marque: Astech Type de produit: Climatiseur Split Puissance: 5275 W 18000 BTU Nombre de Chevaux: 2 CV Réfrigérant Charge R410A Entrée de puissance:1643 W Tension nominale 220-240V~
SPLAST18-18000W,Astech,Split Astech 18000btu 2cv inverter ast18rtv30c,clim,Climatiseurs,277000,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLAST18-18000W-1.png,images/SPLAST18-18000W-1.png,oui,"SPLIT ASTECH 18000BTU INVERTER WIFI 2CV 18VTF111 SPLIT ASTECH 18000BTU INVERTER WIFI 2CV 18VTF111 Conçu pour offrir un confort optimal, ce climatiseur combine des fonctionnalités avancées avec une performance de pointe. Doté de la technologie Inverter"
SPLAST18-1800CI,Astech,Split Astech 18000btu cassette inverter ast18ca103ivte,clim,Climatiseurs,552000,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLAST18-1800CI-1.png,images/SPLAST18-1800CI-1.png,oui,"Climatiseur Astech de 18000 BTU, format cassette, à encastrer au plafond. Adapté à une pièce d'environ 30 m². Technologie inverter : le compresseur adapte sa puissance au lieu de démarrer et s'arrêter, ce qui réduit la consommation électrique et le bruit. Installation par nos techniciens à Dakar. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
SPLAST24-24000A,Astech,Split Astech 24000btu 3cv 24rb410,clim,Climatiseurs,316900,split,jour,24000 BTU,Type: Split | Capacité: 24000 BTU | Garantie: 12 mois,images/SPLAST24-24000A-1.jpg,images/SPLAST24-24000A-1.jpg,oui,Marque : ASTECH Modele : 24RB410 Type : Mural Ref : 24000 btu
SPLAST24-24000C,Astech,Split Astech 24000btu 3cv armoire inverter ast24infhma,clim,Climatiseurs,316900,split,jour,24000 BTU,Type: Split | Capacité: 24000 BTU | Garantie: 12 mois,images/SPLAST24-24000C-1.png,images/SPLAST24-24000C-1.png,oui,"Climatiseur Astech de 24000 BTU (3 CV), format armoire, sur pied. Adapté à une pièce d'environ 40 m². Technologie inverter : le compresseur adapte sa puissance au lieu de démarrer et s'arrêter, ce qui réduit la consommation électrique et le bruit. Installation par nos techniciens à Dakar. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
SPLAST24-24RTV3,Astech,Split Astech 24000btu 3cv inverter ast24rtv30c,clim,Climatiseurs,316900,split,jour,24000 BTU,Type: Split | Capacité: 24000 BTU | Garantie: 12 mois,images/SPLAST24-24RTV3-1.png,images/SPLAST24-24RTV3-1.png,oui,"Climatiseur Astech de 24000 BTU (3 CV), format split mural. Adapté à une pièce d'environ 40 m². Technologie inverter : le compresseur adapte sa puissance au lieu de démarrer et s'arrêter, ce qui réduit la consommation électrique et le bruit. Installation par nos techniciens à Dakar. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
SPLAST24-24ARMO,Astech,Split Astech 24000btu armoire 24ldma,clim,Climatiseurs,542000,split,jour,24000 BTU,Type: Split | Capacité: 24000 BTU | Garantie: 12 mois,images/SPLAST24-24ARMO-1.jpg,images/SPLAST24-24ARMO-1.jpg,oui,Marque : ASTECH Type de produit : split armoire Capacité de refroidissement : 24000BTU Puissance : 3CV Air fraiche
SPLAST24-2400CI,Astech,Split Astech 24000btu cassette inverter ast24ca103ivma,clim,Climatiseurs,316900,split,jour,24000 BTU,Type: Split | Capacité: 24000 BTU | Garantie: 12 mois,images/SPLAST24-2400CI-1.png,images/SPLAST24-2400CI-1.png,oui,"Climatiseur Astech de 24000 BTU, format cassette, à encastrer au plafond. Adapté à une pièce d'environ 40 m². Technologie inverter : le compresseur adapte sa puissance au lieu de démarrer et s'arrêter, ce qui réduit la consommation électrique et le bruit. Installation par nos techniciens à Dakar. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
SPLAST36-36GFMA,Astech,Split Astech 36000btu 4cv armoire 36gfma,clim,Climatiseurs,987000,split,jour,36000 BTU,Type: Split | Capacité: 36000 BTU | Garantie: 12 mois,images/SPLAST36-36GFMA-1.png,images/SPLAST36-36GFMA-1.png,oui,"Climatiseur Astech de 36000 BTU (4 CV), format armoire, sur pied. Adapté à une pièce d'environ 60 m². Installation par nos techniciens à Dakar. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
SPLAST48-48000B,Astech,Split Astech 48000btu armoire 48ldma,clim,Climatiseurs,997000,split,jour,48000 BTU,Type: Split | Capacité: 48000 BTU | Garantie: 12 mois,images/SPLAST48-48000B-1.png,images/SPLAST48-48000B-1.png,oui,Référence : SPLAST48000BT État : Neuf Puissance : 5 CV Capacité de refroidissement : 48000 Btu Réfrigérant : R22 Type Produit : Split Armoire Marque : ASTECH Puissance : 6 CV Capacité de refroidissement : 48000 Btu Réfrigérant : R22 Fonction de diagnostique et de protection automatique Redémarrage automatique Cabinet anticorrosion Poids : 33 kg Dimensions (L x H x P): 50 x 168 x 23 cm
SPLAST48-48INFG,Astech,Split Astech 48000btu armoire inverter 48infgga,clim,Climatiseurs,997000,split,jour,48000 BTU,Type: Split | Capacité: 48000 BTU | Garantie: 12 mois,images/SPLAST48-48INFG-1.png,images/SPLAST48-48INFG-1.png,oui,"Marque: ASTECH : 48INFG-GA Économies d’énergie Capacité de refroidissement: 48 000 BTU Type de climatiseur : Split Armoire Fonctionnalités : Télécommande, programmation de la minuterie, mode veille, redémarrage automatique INVERTER Convient pour une utilisation résidentielle ou commerciale"
SPLAST09-9000BT,Astech,Split Astech 9000btu 1.25 CV asw09au,clim,Climatiseurs,167800,split,jour,9000 BTU,Type: Split | Capacité: 9000 BTU | Garantie: 12 mois,images/SPLAST09-9000BT-1.jpg,images/SPLAST09-9000BT-1.jpg,oui,"Marque: Astech Type de produit: Climatiseur Split Sous catégorie: Climatiseurs Puissance: 3517 w 9000 BTU Nombre de Chevaux: 1,25 CV Rated Frequency 50Hz Refrigerant Charge R410A Entrée de puissance:1015W Tension nominale 220-240V~"
SPLAST09-9000IW,Astech,Split Astech 9000btu 1.25 inverter +Wi-Fi ast09vtf11ma,clim,Climatiseurs,167800,split,jour,9000 BTU,Type: Split | Capacité: 9000 BTU | Garantie: 12 mois,images/SPLAST09-9000IW-1.png,images/SPLAST09-9000IW-1.png,oui,Climatiseur SPLIT ASTECH 9000BTU INVERTER + WIFI 1.25CV Transformez votre maison en un havre de fraîcheur cet été avec le Climatiseur SPLIT ASTECH 9000BTU INVERTER + WIFI 1.25CV ! Conçu pour offrir un confort optimal
SPLAST18-18000B,Astech,Split Astech cassette 18000btu ast18ca102te,clim,Climatiseurs,552000,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLAST18-18000B-1.jpg,images/SPLAST18-18000B-1.jpg,oui,Type de produit :climatiseur Marque :astech modèle :18000BTU /2.5 CV Reference:AST-18CA102-TE
SPLBEK12-12000BT,Beko,Split Beko 12000btu 1.5 CV gaz 410 brae120,clim,Climatiseurs,181900,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLBEK12-12000BT-1.jpg,images/SPLBEK12-12000BT-1.jpg,oui,"Capacité: 1.5 HP Consommation d'énergie: économie en énergie Couleurs: blanc Poids (kg): 30 Type: Split Airconditioner Capacité de refroidissement (Btu / h): 12000 Capacité de refroidissement (W): 3500 Efficacité énergétique de refroidissement (W / W): 2,7 Fonction Auto-redémarrage: OUI Contrôle de la température automatique: OUI Affichage numérique: OUI Fonction minuterie de 24 heures: OUI Niveau sonore – hauteur extérieure (dBA): 50 Niveau sonore – elevé / bas intérieure (dBA): 40 Niveaux de vitesse du ventilateur: OUI (3+ Auto) Filtre a carbone actif: OUI Filtre antibactérien: OUI Direction automatique d'air: OUI (Haut-Bas) Fonction de déshumidification: OUI Mode nuit: OUI Unité intérieure (WxHxD)mm: 823x290x210"
SPLBEK12-12000I,Beko,Split Beko 12000btu 1.5 CV inverter,clim,Climatiseurs,181900,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLBEK12-12000I-1.jpg,images/SPLBEK12-12000I-1.jpg,oui,Puissance12000 Btu/1.5 CV Classe énergétiqueA+ Fonction InverterOui IonGuardOui Redémarrage AutomatiqueOui Fonction de DéshumidificationOui Filtre à Carbone ActifOui
SPLBEK18-18000I,Beko,Split Beko 18000btu 2.5 CV inverter,clim,Climatiseurs,339500,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLBEK18-18000I-1.jpg,images/SPLBEK18-18000I-1.jpg,oui,"Le split beko 18000 btu a un fonctionnement à faible bruit . en effet, le split beko 18000 btu dispose d’une housse lavable qui permet un nettoyage facile. il est parfait pour les maisons, les restaurants et bureaux. le conditionneur de split air beko assure un refroidissement rapide et efficace la fonction de balayage automatique de ce split beko distribue l’air propre et frais au sein de votre environnement ; il a aussi une faible capacité de démarrage de tension qui vous offre un refroidissement continu pendant les fluctuations ou haute et basse tension de l’alimentation principale. filtre à carbone actif. neuf"
SPLBEK18-18000B,Beko,Split Beko 18000btu 2cv 410 brac18,clim,Climatiseurs,282800,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLBEK18-18000B-1.png,images/SPLBEK18-18000B-1.png,oui,Marque : beko Puissance moteur : 2 CV Capacité de refroidissement : 18000 (Btu/h) Type de réfrigérant : R410 Redémarrage automatique Fonction de Déshumidification Fonction de degivrage Filtre antibactérien ( carbone actif bio ) Filtre lavable / Mode nuit / Minuteur ( 24 heures) Contrôle automatique de température Niveaux de vitesse du ventilateur (3+ Auto) Direction automatique d’air (haut-bas) Poids : 17.5 Kg Dimensions (L x H x P): 82.3 x 29 x 21 cm
SPLBEK36-36000A,Beko,Split Beko 36000btu 5cv armoire lop360,clim,Climatiseurs,876500,split,jour,36000 BTU,Type: Split | Capacité: 36000 BTU | Garantie: 12 mois,images/SPLBEK36-36000A-2.png,images/SPLBEK36-36000A-2.png;images/SPLBEK36-36000A-1.jpg,oui,"SPLIT ARMOIRE 36000 BTU 5 CV BEKO LOP360 Découvrez le split armoire 5CV 36000 BTU Beko LOP240 : puissant, efficace et élégant. Offrant un confort optimal grâce à sa technologie avancée de climatisation, il vous permettra de maintenir une température agréable dans n'importe quelle pièce."
SPLDAE18-18000C,Autre Marque,Split daewo cassette 18000btu,clim,Climatiseurs,225000,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLDAE18-18000C-1.png,images/SPLDAE18-18000C-1.png,oui,Affichage numérique par segments – Minuterie programmable – Auto-diagnostique – Voyant batterie faible – Démarrage automatique – Télécommande sécurisée
SPLDAI18-RXB18B,Autre Marque,Split Daikin 18000btu inverter rxb18bxvju,clim,Climatiseurs,225000,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLDAI18-RXB18B-1.jpg,images/SPLDAI18-RXB18B-1.jpg,oui,"DAIKIN système split mural 18 000 Btu Capacité de refroidissement (Btu/h)18000 Capacité de chauffage (Btu/h)18000 Numéro de modèleRXB18BXVJU Le mode Turbo refroidit ou réchauffe la pièce rapidement Technologie d'onduleur intelligent Efficacité énergétique – 17 SEER, 9 HSPF Confort intact Filtration avancée Espaces de vie principaux (chambres principales et salons) Chambres chaudes ou froides Pièces avec une mauvaise circulation de l'air Rénovations et remodelage Caves, greniers et garages Nouvelle construction"
SPLDES12-12FV3D,Deska,Split Deska 12000btu 1.5cv des12fv3de,clim,Climatiseurs,128500,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLDES12-12FV3D-1.jpg,images/SPLDES12-12FV3D-1.jpg,oui,Type de produit : Climatiseur Marque : Deska Puissance : 1.5CV Capacité refroidissement : 12000 BTU Couleur : Blanc Garantie : 12 Mois Poids: 54 kg Profondeur: 246 mm Hauteur: 325 mm Largeur: 1078 mm
SPLDES12-12000I,Deska,Split Deska 12000btu inverter 1.5cv des12vt14c,clim,Climatiseurs,160900,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLDES12-12000I-1.jpg,images/SPLDES12-12000I-1.jpg,oui,Type de produit : Climatiseur INVERTER Marque : Deska Puissance : 1.5 CV Capacité refroidissement : 12000 BTU Couleur : Blanc Poids: 54 kg Profondeur: 246 mm Hauteur: 325 mm Largeur: 1078 mm
SPLDES18-18VT14,Deska,Split Deska 18000btu 2.5cv inverter des18vt14c,clim,Climatiseurs,239600,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLDES18-18VT14-1.png,images/SPLDES18-18VT14-1.png,oui,Type de produit : Climatiseur Split Marque : Elactron Puissance : 2.5 CV Capacité refroidissement : 18000 BTU INVERTER Couleur : Blanc Consommation d’énergie A++
SPLDES18-18FV3D,Deska,Split Deska 18000btu 2cv des18fv3de,clim,Climatiseurs,239600,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLDES18-18FV3D-1.jpg,images/SPLDES18-18FV3D-1.jpg,oui,Type de produit : Climatiseur Marque : Deska Puissance : 2CV Capacité refroidissement : 18000 BTU Couleur : Blanc Garantie : 12 Mois Poids: 54 kg Profondeur: 246 mm Hauteur: 325 mm Largeur: 1078 mm Marque: Deska Couleur blanche Illimité
SPLDES24-24FV3D,Deska,Split Deska 24000btu 3cv des24fv3de,clim,Climatiseurs,272000,split,jour,24000 BTU,Type: Split | Capacité: 24000 BTU | Garantie: 12 mois,images/SPLDES24-24FV3D-1.jpg,images/SPLDES24-24FV3D-1.jpg,oui,Type de produit : Climatiseur Marque : Deska Puissance : 3CV Capacité refroidissement : 24000 BTU Couleur : Blanc Garantie : 12 Mois Hauteur: 325 mm Largeur: 1078 mm Marque: Deska Couleur blanche
SPLDES24-24000I,Deska,Split Deska 24000btu inverter 3cv des24vt14c,clim,Climatiseurs,272000,split,jour,24000 BTU,Type: Split | Capacité: 24000 BTU | Garantie: 12 mois,images/SPLDES24-24000I-1.png,images/SPLDES24-24000I-1.png,oui,"Climatiseur Deska de 24000 BTU (3 CV), format split mural. Adapté à une pièce d'environ 40 m². Technologie inverter : le compresseur adapte sa puissance au lieu de démarrer et s'arrêter, ce qui réduit la consommation électrique et le bruit. Installation par nos techniciens à Dakar. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
SPLDES09-09FV3D,Deska,Split Deska 9000btu 1.25cv des09fv3de,clim,Climatiseurs,115000,split,jour,9000 BTU,Type: Split | Capacité: 9000 BTU | Garantie: 12 mois,images/SPLDES09-09FV3D-1.jpg,images/SPLDES09-09FV3D-1.jpg,oui,Type de produit : Climatiseur Marque : Deska Puissance : 1.25CV Capacité refroidissement : 9000 BTU Couleur : Blanc Garantie : 12 Mois Poids: 54 kg Profondeur: 246 mm Hauteur: 325 mm Largeur: 1078 mm
SPLELA12-12000B,Elactron,Split Elactron 12000btu 1.5cv gaz 410,clim,Climatiseurs,136600,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLELA12-12000B-1.jpg,images/SPLELA12-12000B-1.jpg;images/SPLELA12-12000B-4.jpg;images/SPLELA12-12000B-3.jpg;images/SPLELA12-12000B-2.jpg,oui,Type de produit : Climatiseur Split Marque : Elactron Puissance : 1.5CV Capacité refroidissement : 12000 BTU
SPLELA12-12000I,Elactron,Split Elactron 12000btu inverter 12kr1,clim,Climatiseurs,245000,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLELA12-12000I-2.jpg,images/SPLELA12-12000I-2.jpg;images/SPLELA12-12000I-1.jpg,oui,"Type de produit : Climatiseur Split Puissance : 1320W Tension : 220-240V Fréquence :50Hz Classe énergétique :A++ Capacité de refroidissement : 3450W Unité intérieure : Bruit : ~39dB Poids : 7 Kg Dimensions (LxHxP) : 700x347x277 Unité extérieure : Bruit : 50dB Poids : 22,5 Kg Dimensions (LxHxP) : 760x347x277 Tension : 220-240V Fréquence :50Hz Classe énergétique :A++ Couleur : blanc Matière : copper"
SPLELA18-18000B,Elactron,Split Elactron 18000btu 2.5cv gaz 410,clim,Climatiseurs,212000,split,jour,18000 BTU,Type: Split | Capacité: 18000 BTU | Garantie: 12 mois,images/SPLELA18-18000B-2.jpg,images/SPLELA18-18000B-2.jpg;images/SPLELA18-18000B-1.jpg;images/SPLELA18-18000B-4.jpg;images/SPLELA18-18000B-3.jpg,oui,Type: Split Capacité: 18000 btu Ions Plasma cluster Balançoire air automatique Fonction d’auto nettoyage Redémarrage automatique Niveau de pression sonore_intérieur: 47 Niveau de pression sonore_extérieur: 57 Dimension (LxHxP) – Intérieur : 940 x 200 x 298 Poids net : Intérieur: 13 kg Poids net extérieur: 45 kg
